alpha,beta,llhd
7.43157894736842,28.9894736842105,-4855.88108712681
8.47894736842105,28.9894736842105,-4881.98606328463
9.52631578947368,28.9894736842105,-4908.81644083912
10.5736842105263,28.9894736842105,-4936.0907664172
11.6210526315789,28.9894736842105,-4963.5932216262
12.6684210526316,28.9894736842105,-4991.15926354219
13.7157894736842,28.9894736842105,-5018.66408313893
14.7631578947368,28.9894736842105,-5046.01351321194
15.8105263157895,28.9894736842105,-5073.13697260775
16.8578947368421,28.9894736842105,-5099.98203787017
17.9052631578947,28.9894736842105,-5126.51028243311
18.9526315789474,28.9894736842105,-5152.69408856664
20.0,28.9894736842105,-5178.51420040519
0.1,31.6157894736842,-4745.56167073149
1.14736842105263,31.6157894736842,-4748.37193507996
2.19473684210526,31.6157894736842,-4759.47942766253
3.24210526315789,31.6157894736842,-4775.8481126827
4.28947368421053,31.6157894736842,-4795.84066100168
5.33684210526316,31.6157894736842,-4818.41964796049
6.38421052631579,31.6157894736842,-4842.85853477621
7.43157894736842,31.6157894736842,-4868.61394287457
8.47894736842105,31.6157894736842,-4895.26721227708
9.52631578947368,31.6157894736842,-4922.49426851499
10.5736842105263,31.6157894736842,-4950.04559501815
11.6210526315789,31.6157894736842,-4977.73046399596
12.6684210526316,31.6157894736842,-5005.40405565522
13.7157894736842,31.6157894736842,-5032.95709368867
14.7631578947368,31.6157894736842,-5060.30768039604
15.8105263157895,31.6157894736842,-5087.39496294172
16.8578947368421,31.6157894736842,-5114.17426312383
17.9052631578947,31.6157894736842,-5140.61334665319
18.9526315789474,31.6157894736842,-5166.68956656975
20.0,31.6157894736842,-5192.38767234139
0.1,34.2421052631579,-4746.95727201189
1.14736842105263,34.2421052631579,-4753.1983805463
2.19473684210526,34.2421052631579,-4766.80639141439
3.24210526315789,34.2421052631579,-4785.05363419335
4.28947368421053,34.2421052631579,-4806.47090851775
5.33684210526316,34.2421052631579,-4830.13040623774
6.38421052631579,34.2421052631579,-4855.38293969776
7.43157894736842,34.2421052631579,-4881.74278550432
8.47894736842105,34.2421052631579,-4908.83579166264
9.52631578947368,34.2421052631579,-4936.37275143239
10.5736842105263,34.2421052631579,-4964.13155619407
11.6210526315789,34.2421052631579,-4991.94302507471
12.6684210526316,34.2421052631579,-5019.67928665186
13.7157894736842,34.2421052631579,-5047.24442052231
14.7631578947368,34.2421052631579,-5074.56708536937
15.8105263157895,34.2421052631579,-5101.59480296525
16.8578947368421,34.2421052631579,-5128.28956568838
17.9052631578947,34.2421052631579,-5154.62447417938
18.9526315789474,34.2421052631579,-5180.58116487762
20.0,34.2421052631579,-5206.14783879485
0.1,36.8684210526316,-4750.47742046743
1.14736842105263,36.8684210526316,-4759.64614072864
2.19473684210526,36.8684210526316,-4775.38088503071
3.24210526315789,36.8684210526316,-4795.21800146239
4.28947368421053,36.8684210526316,-4817.83391062847
5.33684210526316,36.8684210526316,-4842.39544343263
6.38421052631579,36.8684210526316,-4868.32003779603
7.43157894736842,36.8684210526316,-4895.17163802449
8.47894736842105,36.8684210526316,-4922.61447945454
9.52631578947368,36.8684210526316,-4950.38946106578
