dis,sNumber,sTag,servArea,totInc,emInc,numStand,perMet,90Avg,q,ranked
SOUTHERN D1,24,FS24,Malvern,175,167,144,86.2,8.2,1,56
WESTERN D2,41,FS41,St Albans,102,94,81,86.2,8.4,1,57
SOUTH & EAST REGIONAL,75,FS75,Shepparton,178,173,148,85.5,8.7,1,58
WESTERN D3,62,FS62,Corio,229,218,186,85.3,8.3,1,59
NORTHERN,9,FS9,Somerton,88,82,69,84.1,8.2,1,60
SOUTHERN D1,34,FS34,Highett,280,257,216,84.0,8.2,1,61
SOUTH & EAST REGIONAL,76,FS76,Wodonga,93,84,70,83.3,8.7,1,62
SOUTHERN D1,89,FS89,Springvale,166,149,124,83.2,8.3,1,63
SOUTHERN D2,87,FS87,Dandenong,339,319,265,83.1,8.8,1,64
NORTHERN,81,FS81,South Morang,38,35,29,82.9,8.4,1,65
WESTERN D1,45,FS45,Spotswood,67,63,52,82.5,8.2,1,66
NORTHERN,80,FS80,Craigieburn,178,163,134,82.2,8.6,1,67
NORTHERN,6,FS6,Pascoe Vale,160,150,123,82.0,8.8,1,68
WESTERN D2,51,FS51,Keilor,104,93,76,81.7,8.3,1,69
WESTERN D1,40,FS40,Laverton,169,158,125,79.1,8.9,1,70
WESTERN D2,53,FS53,Sunbury,99,90,71,78.9,9.7,1,71
WESTERN D2,48,FS48,Taylors Lakes,70,66,52,78.8,10.6,1,72
WESTERN D2,56,FS56,Melton,226,216,169,78.2,9.6,1,73
WESTERN D1,46,FS46,Altona,61,61,47,77.0,8.7,1,74
WESTERN D1,59,FS59,Derrimut,64,60,46,76.7,8.9,1,75
WESTERN D2,52,FS52,Tullamarine,115,111,85,76.6,8.7,1,76
SOUTHERN D2,92,FS92,Cranbourne,212,197,151,76.6,9.0,1,77
SOUTHERN D2,90,FS90,Patterson River,93,85,65,76.5,9.0,1,78
WESTERN D1,57,FS57,Tarneit,261,240,172,71.7,10.0,1,80
SOUTHERN D2,88,FS88,Hallam,197,183,131,71.6,9.9,1,81
SOUTHERN D2,93,FS93,Pakenham,130,126,88,69.8,10.2,1,82
WESTERN D1,58,FS58,Point Cook,92,91,62,68.1,10.1,1,83
WESTERN D2,54,FS54,Greenvale,52,49,33,67.3,10.2,1,84
WESTERN D2,55,FS55,Caroline Springs,163,153,93,60.8,9.4,1,85
WESTERN D3,61,FS61,Lara,55,52,31,59.6,11.1,1,86
CENTRAL,3,FS3,Carlton,342,324,317,97.8,6.5,2,1
CENTRAL,1,FS1,Eastern Hill,380,364,353,97.0,6.0,2,2
WESTERN D3,66,FS66,Ocean Grove,37,31,30,96.8,6.2,2,3
EASTERN,85,FS85,Boronia,100,78,75,96.2,6.9,2,4
SOUTHERN D1,86,FS86,Rowville,69,53,51,96.2,7.0,2,5
CENTRAL,38,FS38,South Melbourne,420,396,378,95.5,6.8,2,6
EASTERN,30,FS30,Templestowe,75,62,59,95.2,7.4,2,7
CENTRAL,2,FS2,West Melbourne,330,300,284,94.7,6.6,2,8
NORTHERN,14,FS14,Bundoora,171,152,144,94.7,7.4,2,9
WESTERN D2,44,FS44,Sunshine,172,134,126,94.0,7.3,2,10
NORTH & WEST REGIONAL,67,FS67,Ballarat City,116,110,103,93.6,6.6,2,11
EASTERN,28,FS28,Vermont South,147,122,114,93.4,7.3,2,12
SOUTH & EAST REGIONAL,74,FS74,Wangaratta,60,56,52,92.9,6.6,2,13
SOUTHERN D2,94,FS94,Mornington,89,85,79,92.9,7.0,2,14
WESTERN D3,64,FS64,Belmont,117,104,96,92.3,7.5,2,15
SOUTH & EAST REGIONAL,77,FS77,Traralgon,69,65,60,92.3,7.7,2,16
EASTERN,22,FS22,Ringwood,176,136,125,91.9,7.5,2,17
NORTHERN,15,FS15,Heidelberg,211,183,168,91.8,7.4,2,18
SOUTHERN D2,91,FS91,Frankston,225,195,179,91.8,7.6,2,19
SOUTH & EAST REGIONAL,78,FS78,Morwell,88,84,77,91.7,7.2,2,20
CENTRAL,10,FS10,Richmond,307,294,269,91.5,7.2,2,21
CENTRAL,4,FS4,Brunswick,216,174,159,91.4,7.4,2,22
EASTERN,27,FS27,Nunawading,129,103,94,91.3,7.5,2,23
WESTERN D1,47,FS47,Footscray,200,181,165,91.2,7.4,2,24
EASTERN,20,FS20,Box Hill,203,177,161,91.0,7.5,2,25
NORTHERN,16,FS16,Greensborough,91,77,70,90.9,7.7,2,26
EASTERN,26,FS26,Croydon,131,97,88,90.7,7.5,2,27
CENTRAL,39,FS39,Port Melbourne,143,121,109,90.1,7.4,2,28
SOUTHERN D1,24,FS24,Malvern,195,169,152,89.9,8.0,2,29
SOUTHERN D2,95,FS95,Rosebud,71,59,53,89.8,7.7,2,30
CENTRAL,35,FS35,Windsor,511,449,402,89.5,7.7,2,31
WESTERN D2,41,FS41,St Albans,147,114,102,89.5,7.8,2,32
NORTHERN,12,FS12,Preston,171,142,127,89.4,7.6,2,33
EASTERN,23,FS23,Burwood,166,134,119,88.8,7.9,2,34
SOUTH & EAST REGIONAL,79,FS79,Latrobe West,66,62,55,88.7,7.4,2,35
SOUTHERN D1,25,FS25,Oakleigh,161,132,117,88.6,8.1,2,36
CENTRAL,50,FS50,Ascot Vale,179,157,139,88.5,8.1,2,37
NORTH & WEST REGIONAL,72,FS72,Mildura,102,96,85,88.5,7.9,2,38
SOUTHERN D1,29,FS29,Clayton,131,103,91,88.3,7.9,2,39
WESTERN D3,63,FS63,Geelong City,178,154,136,88.3,7.9,2,40
WESTERN D1,40,FS40,Laverton,129,101,89,88.1,8.4,2,41
CENTRAL,18,FS18,Hawthorn,222,190,167,87.9,8.2,2,42
EASTERN,19,FS19,North Balwyn,115,92,80,87.0,8.1,2,43
NORTHERN,7,FS7,Thomastown,134,106,92,86.8,8.3,2,44
WESTERN D3,62,FS62,Corio,198,174,151,86.8,8.0,2,45
NORTHERN,9,FS9,Somerton,91,75,65,86.7,8.3,2,46
WESTERN D2,43,FS43,Deer Park,131,96,83,86.5,8.5,2,47
SOUTHERN D2,87,FS87,Dandenong,284,248,214,86.3,8.4,2,48
NORTH & WEST REGIONAL,68,FS68,Lucas,40,36,31,86.1,7.9,2,49
WESTERN D1,42,FS42,Newport,98,86,74,86.0,8.4,2,50
CENTRAL,13,FS13,Northcote,167,139,119,85.6,8.2,2,51
SOUTHERN D1,31,FS31,Glen Waverley,248,210,179,85.2,8.4,2,52
NORTH & WEST REGIONAL,70,FS70,Warrnambool,104,88,75,85.2,8.6,2,53
NORTHERN,81,FS81,South Morang,31,27,23,85.2,7.9,2,54
SOUTHERN D1,34,FS34,Highett,211,174,148,85.1,8.0,2,55
NORTHERN,5,FS5,Broadmeadows,256,214,182,85.0,8.5,2,56
SOUTHERN D2,90,FS90,Patterson River,81,70,59,84.3,9.1,2,57
NORTH & WEST REGIONAL,71,FS71,Portland,32,31,26,83.9,8.3,2,58
SOUTHERN D1,32,FS32,Ormond,265,216,181,83.8,8.5,2,59
SOUTHERN D1,89,FS89,Springvale,156,128,107,83.6,8.2,2,60
NORTHERN,11,FS11,Epping,122,109,91,83.5,8.5,2,61
NORTH & WEST REGIONAL,73,FS73,Bendigo,174,166,138,83.1,8.6,2,62
WESTERN D1,46,FS46,Altona,50,41,34,82.9,8.3,2,63
WESTERN D2,48,FS48,Taylors Lakes,59,46,38,82.6,8.5,2,64
SOUTHERN D1,33,FS33,Mentone,143,118,97,82.2,8.2,2,65
WESTERN D1,45,FS45,Spotswood,64,55,45,81.8,8.5,2,66
EASTERN,82,FS82,Eltham City,64,53,43,81.1,7.9,2,67
NORTHERN,6,FS6,Pascoe Vale,177,140,113,80.7,9.0,2,68
EASTERN,84,FS84,South Warrandyte,26,20,16,80.0,8.7,2,69
WESTERN D2,51,FS51,Keilor,112,88,70,79.5,8.6,2,70
SOUTH & EAST REGIONAL,75,FS75,Shepparton,161,156,124,79.5,10.0,2,71
SOUTHERN D2,92,FS92,Cranbourne,151,112,89,79.5,9.8,2,72
SOUTH & EAST REGIONAL,76,FS76,Wodonga,109,105,83,79.0,8.8,2,73
NORTHERN,80,FS80,Craigieburn,140,117,91,77.8,9.5,2,74
SOUTHERN D2,88,FS88,Hallam,201,148,115,77.7,9.3,2,75
SOUTHERN D2,93,FS93,Pakenham,118,106,82,77.4,8.6,2,76
WESTERN D1,58,FS58,Point Cook,81,76,58,76.3,9.6,2,77
WESTERN D2,53,FS53,Sunbury,87,79,60,75.9,9.9,2,78
WESTERN D2,52,FS52,Tullamarine,122,99,74,74.7,9.3,2,79
WESTERN D2,56,FS56,Melton,220,190,142,74.7,10.0,2,80
WESTERN D1,59,FS59,Derrimut,64,55,41,74.5,8.6,2,81
WESTERN D2,54,FS54,Greenvale,47,35,23,65.7,9.3,2,83
WESTERN D1,57,FS57,Tarneit,244,199,127,63.8,10.5,2,84
WESTERN D2,55,FS55,Caroline Springs,179,162,94,58.0,9.6,2,85
WESTERN D3,61,FS61,Lara,58,51,25,49.0,11.3,2,86
WESTERN D3,66,FS66,Ocean Grove,24,23,23,100.0,5.87,3,1
NORTH & WEST REGIONAL,67,FS67,Ballarat City,82,74,74,100.0,5.48,3,2
NORTH & WEST REGIONAL,68,FS68,Lucas,48,44,44,100.0,6.83,3,3
CENTRAL,1,FS1,Eastern Hill,374,359,350,97.5,5.5,3,4
CENTRAL,3,FS3,Carlton,349,330,319,96.7,6.27,3,5
WESTERN D3,64,FS64,Belmont,114,90,87,96.7,7.05,3,6
CENTRAL,38,FS38,South Melbourne,366,349,337,96.6,6.48,3,7
CENTRAL,10,FS10,Richmond,263,249,238,95.6,6.7,3,8
NORTHERN,16,FS16,Greensborough,83,68,65,95.6,7.55,3,9
SOUTH & EAST REGIONAL,77,FS77,Traralgon,71,66,63,95.5,7.28,3,10
NORTH & WEST REGIONAL,71,FS71,Portland,25,21,20,95.2,7.05,3,11
WESTERN D1,47,FS47,Footscray,211,181,172,95.0,7.0,3,12
SOUTHERN D1,86,FS86,Rowville,53,39,37,94.9,6.7,3,13
EASTERN,28,FS28,Vermont South,96,76,72,94.7,7.05,3,14
CENTRAL,39,FS39,Port Melbourne,122,113,107,94.7,7.13,3,15
EASTERN,23,FS23,Burwood,140,120,113,94.2,7.08,3,16
NORTHERN,81,FS81,South Morang,57,51,48,94.1,7.67,3,17
WESTERN D2,44,FS44,Sunshine,214,179,168,93.9,7.5,3,18
CENTRAL,2,FS2,West Melbourne,309,280,262,93.6,6.57,3,19
NORTHERN,12,FS12,Preston,158,139,130,93.5,7.23,3,20
SOUTH & EAST REGIONAL,78,FS78,Morwell,84,75,70,93.3,6.77,3,21
CENTRAL,4,FS4,Brunswick,203,176,164,93.2,7.32,3,22
EASTERN,26,FS26,Croydon,138,114,106,93.0,7.13,3,23
SOUTH & EAST REGIONAL,74,FS74,Wangaratta,78,69,64,92.8,7.52,3,24
CENTRAL,35,FS35,Windsor,459,407,375,92.1,7.23,3,25
WESTERN D3,63,FS63,Geelong City,165,147,135,91.8,7.6,3,26
SOUTHERN D1,31,FS31,Glen Waverley,225,204,187,91.7,7.67,3,27
NORTH & WEST REGIONAL,73,FS73,Bendigo,151,145,133,91.7,7.7,3,28
EASTERN,27,FS27,Nunawading,120,105,96,91.4,7.55,3,29
EASTERN,20,FS20,Box Hill,159,138,126,91.3,7.63,3,30
NORTHERN,14,FS14,Bundoora,130,110,100,90.9,7.8,3,31
EASTERN,22,FS22,Ringwood,118,107,97,90.7,7.97,3,32
SOUTHERN D1,25,FS25,Oakleigh,148,127,115,90.6,7.62,3,33
SOUTHERN D1,33,FS33,Mentone,126,96,87,90.6,8.08,3,34
NORTHERN,6,FS6,Pascoe Vale,127,100,90,90.0,8.4,3,35
SOUTHERN D2,94,FS94,Mornington,80,69,62,89.9,7.95,3,36
SOUTHERN D2,95,FS95,Rosebud,59,49,44,89.8,7.68,3,37
SOUTHERN D1,29,FS29,Clayton,136,116,104,89.7,7.88,3,38
WESTERN D1,42,FS42,Newport,80,76,68,89.5,7.72,3,39
NORTHERN,15,FS15,Heidelberg,199,174,155,89.1,7.98,3,40
WESTERN D2,53,FS53,Sunbury,75,63,56,88.9,8.15,3,41
WESTERN D2,43,FS43,Deer Park,114,96,85,88.5,8.03,3,42
CENTRAL,50,FS50,Ascot Vale,189,164,145,88.4,7.88,3,43
SOUTHERN D1,32,FS32,Ormond,203,168,148,88.1,7.83,3,44
WESTERN D2,48,FS48,Taylors Lakes,50,42,37,88.1,7.43,3,45
EASTERN,85,FS85,Boronia,75,59,52,88.1,7.92,3,46
SOUTHERN D2,91,FS91,Frankston,210,184,162,88.0,8.18,3,47
CENTRAL,18,FS18,Hawthorn,193,169,148,87.6,7.87,3,48
EASTERN,19,FS19,North Balwyn,123,103,90,87.4,8.28,3,49
WESTERN D2,41,FS41,St Albans,130,103,90,87.4,8.22,3,50
NORTH & WEST REGIONAL,72,FS72,Mildura,104,94,82,87.2,8.57,3,51
NORTHERN,9,FS9,Somerton,58,46,40,87.0,7.95,3,52
CENTRAL,13,FS13,Northcote,148,119,103,86.6,7.95,3,53
NORTHERN,7,FS7,Thomastown,122,104,90,86.5,8.02,3,54
SOUTHERN D2,87,FS87,Dandenong,261,211,182,86.3,8.48,3,55
NORTHERN,80,FS80,Craigieburn,130,93,80,86.0,8.32,3,56
NORTHERN,5,FS5,Broadmeadows,241,199,171,85.9,8.68,3,57
NORTH & WEST REGIONAL,70,FS70,Warrnambool,99,89,76,85.4,8.17,3,58
WESTERN D1,46,FS46,Altona,39,33,28,84.8,7.85,3,59
NORTHERN,11,FS11,Epping,94,84,71,84.5,8.08,3,60
SOUTH & EAST REGIONAL,79,FS79,Latrobe West,47,45,38,84.4,8.1,3,61
SOUTHERN D2,92,FS92,Cranbourne,173,127,107,84.3,8.48,3,62
SOUTHERN D2,90,FS90,Patterson River,83,69,58,84.1,8.32,3,63
WESTERN D3,62,FS62,Corio,174,141,118,83.7,8.32,3,64
SOUTHERN D1,24,FS24,Malvern,175,145,121,83.4,8.92,3,65
SOUTHERN D1,34,FS34,Highett,186,156,130,83.3,8.57,3,66
SOUTH & EAST REGIONAL,75,FS75,Shepparton,141,131,109,83.2,8.47,3,67
SOUTHERN D2,93,FS93,Pakenham,99,77,64,83.1,8.65,3,68
WESTERN D1,40,FS40,Laverton,74,64,53,82.8,8.98,3,69
SOUTHERN D2,88,FS88,Hallam,150,115,95,82.6,8.5,3,70
EASTERN,30,FS30,Templestowe,77,68,56,82.4,9.12,3,71
SOUTH & EAST REGIONAL,76,FS76,Wodonga,77,67,55,82.1,8.47,3,72
EASTERN,82,FS82,Eltham City,70,60,49,81.7,8.83,3,73
WESTERN D2,52,FS52,Tullamarine,103,85,69,81.2,8.48,3,74
WESTERN D2,51,FS51,Keilor,103,78,63,80.8,8.6,3,75
SOUTHERN D1,89,FS89,Springvale,123,96,77,80.2,8.4,3,76
WESTERN D1,58,FS58,Point Cook,116,96,76,79.2,9.37,3,77
WESTERN D1,57,FS57,Tarneit,196,154,120,77.9,9.05,3,78
WESTERN D1,45,FS45,Spotswood,124,97,74,76.3,8.9,3,79
WESTERN D1,59,FS59,Derrimut,84,74,56,75.7,8.73,3,80
WESTERN D2,56,FS56,Melton,196,164,117,71.3,10.13,3,81
WESTERN D2,55,FS55,Caroline Springs,167,146,99,67.8,9.57,3,82
EASTERN,84,FS84,South Warrandyte,21,20,12,60.0,9.57,3,83
WESTERN D2,54,FS54,Greenvale,48,39,23,59.0,12.83,3,84
WESTERN D3,61,FS61,Lara,46,46,18,39.1,10.73,3,85
WESTERN D3,66,FS66,Ocean Grove,32,26,26,100.0,5.85,4,1
CENTRAL,1,FS1,Eastern Hill,389,365,356,97.5,5.62,4,2
CENTRAL,3,FS3,Carlton,376,348,338,97.1,6.52,4,3
NORTH & WEST REGIONAL,67,FS67,Ballarat City,100,88,85,96.6,6.52,4,4
EASTERN,23,FS23,Burwood,166,127,121,95.3,7.3,4,5
SOUTHERN D2,95,FS95,Rosebud,75,62,59,95.2,7.08,4,6
CENTRAL,2,FS2,West Melbourne,356,326,310,95.1,6.65,4,7
SOUTHERN D1,29,FS29,Clayton,133,108,102,94.4,7.43,4,8
WESTERN D3,63,FS63,Geelong City,187,158,148,93.7,7.15,4,9
EASTERN,20,FS20,Box Hill,176,144,134,93.1,7.43,4,10
EASTERN,26,FS26,Croydon,134,102,95,93.0,6.9,4,11
NORTHERN,12,FS12,Preston,221,183,170,92.9,7.67,4,12
WESTERN D2,41,FS41,St Albans,155,113,105,92.9,7.85,4,13
CENTRAL,38,FS38,South Melbourne,426,391,363,92.8,6.87,4,14
SOUTH & EAST REGIONAL,78,FS78,Morwell,69,64,59,92.2,7.32,4,15
CENTRAL,10,FS10,Richmond,311,280,258,92.1,7.27,4,16
CENTRAL,4,FS4,Brunswick,258,232,213,91.8,7.57,4,17
EASTERN,27,FS27,Nunawading,156,120,110,91.7,7.3,4,18
EASTERN,28,FS28,Vermont South,188,145,133,91.6,7.5,4,19
NORTHERN,9,FS9,Somerton,85,71,65,91.5,7.65,4,20
