ID,Name,Mobility,State,Population,Urban,Black,Seg_racial,Seg_income,Seg_poverty,Seg_affluence,Commute,Income,Gini,Share01,Gini_99,Middle_class,Local_tax_rate,Local_gov_spending,Progressivity,EITC,School_spending,Student_teacher_ratio,Test_scores,HS_dropout,Colleges,Tuition,Graduation,Labor_force_participation,Manufacturing,Chinese_imports,Teenage_labor,Migration_in,Migration_out,Foreign_born,Social_capital,Religious,Violent_crime,Single_mothers,Divorced,Married,Longitude,Latitude
17501,Cumberland,0.0969055369,MD,155822,1,0.033,0.149,0.024,0.026,0.021,0.373,29147,0.425,13.041,0.294,0.589,0.018,1840.0,1.0,11.429,6.553,16.0,-2.043,-0.006,0.032,12039.0,-0.059,0.566,0.168,0.739,0.004,0.008,0.007,0.009,0.038,0.491,0.002,0.187,0.085,0.6,-78.8268737792969,39.2735443115234
17502,Winchester,0.0972972959,VA,115649,1,0.043,0.1,0.042,0.037,0.045,0.301,36887,0.402,10.978,0.292,0.575,0.02,1801.0,0.0,0.0,6.326,16.6,0.058,-0.003,0.017,9058.0,-0.058,0.669,0.182,1.205,0.005,0.039,0.023,0.029,-0.875,0.391,0.001,0.172,0.098,0.584,-78.4002304077148,39.2103652954102
17600,Charlottesville,0.0613825992,VA,273489,1,0.164,0.096,0.06,0.058,0.062,0.282,37999,0.489,12.275,0.366,0.5,0.022,1882.0,0.0,0.0,6.177,,-0.367,,0.011,2786.0,0.327,0.626,0.093,1.081,0.005,0.031,0.017,0.044,-0.484,0.365,0.001,0.203,0.089,0.544,-78.2333831787109,38.0418243408203
17700,Syracuse,0.076672107,NY,1080612,1,0.056,0.253,0.086,0.088,0.08,0.378,35778,0.409,10.819,0.301,0.541,0.036,3044.0,0.0,6.905,8.59,15.8,1.814,-0.016,0.023,10408.0,0.088,0.629,0.146,1.253,0.005,0.008,0.012,0.043,0.353,0.484,0.002,0.236,0.087,0.522,-75.6718292236328,43.084644317627
17800,Oneonta,0.0928838924,NY,161132,0,0.012,0.053,0.012,0.014,0.008,0.405,31398,0.374,7.377,0.3,0.569,0.037,2714.0,0.0,6.905,9.284,14.0,3.69,-0.021,0.025,5231.0,0.151,0.61,0.152,1.978,0.004,0.014,0.012,0.025,0.102,0.377,0.002,0.199,0.09,0.553,-75.0704956054688,42.4394607543945
17900,Union,0.088044025,NY,294558,1,0.023,0.12,0.063,0.065,0.063,0.363,35192,0.39,8.997,0.3,0.557,0.031,2370.0,0.0,6.905,8.034,15.9,7.263,-0.015,0.01,3090.0,0.182,0.615,0.189,6.272,0.004,0.014,0.015,0.04,0.505,0.493,0.001,0.209,0.094,0.538,-76.0699844360352,42.1343231201172
18000,Buffalo,0.066782549,NY,2369699,1,0.104,0.342,0.098,0.097,0.097,0.333,38618,0.396,10.989,0.287,0.521,0.037,3031.0,0.0,6.905,9.08,15.7,3.245,-0.016,0.015,8230.0,0.029,0.639,0.183,2.241,0.005,0.007,0.012,0.049,0.394,0.607,0.002,0.251,0.088,0.524,-77.7660903930664,42.7380714416504
18100,Elmira,0.0936922133,NY,346894,1,0.03,0.158,0.048,0.048,0.046,0.411,32548,0.416,10.805,0.308,0.568,0.033,2590.0,0.0,6.905,8.67,16.0,0.774,-0.002,0.023,15547.0,0.266,0.615,0.175,1.287,0.004,0.012,0.015,0.042,0.5,0.396,0.001,0.222,0.092,0.516,-76.8524780273438,42.3245124816895
18201,Olean,0.0801330507,NY,197898,0,0.01,0.143,0.016,0.016,0.016,0.455,29823,0.37,10.119,0.269,0.62,0.032,2566.0,0.0,6.905,8.316,16.0,3.707,-0.011,0.04,9250.0,0.168,0.611,0.208,2.47,0.004,0.01,0.01,0.015,-0.135,0.418,0.002,0.197,0.091,0.552,-78.447868347168,42.1064071655273
18202,St. Marys,0.1629834324,PA,41086,0,0.002,0.025,0.016,0.015,0.013,0.53,34878,0.299,10.488,0.194,0.696,0.02,1510.0,0.0,0.0,8.325,17.5,7.407,-0.017,,,,0.625,0.437,1.868,0.004,0.005,0.009,0.01,1.145,0.78,0.001,0.159,0.085,0.576,-78.6627578735352,41.3966979980469
18300,Watertown,0.1011804417,NY,250613,1,0.035,0.147,0.022,0.027,0.018,0.471,27436,0.353,6.815,0.285,0.59,0.035,2904.0,0.0,6.905,9.16,15.9,5.444,-0.012,0.024,10602.0,0.134,0.601,0.117,0.658,0.004,0.022,0.022,0.033,-0.213,0.472,0.001,0.195,0.081,0.539,-75.5392837524414,44.1033897399902
18400,Plattsburgh,0.0854566842,NY,169879,0,0.041,0.285,0.025,0.026,0.023,0.47,28561,0.359,6.947,0.29,0.581,0.041,2872.0,0.0,6.905,9.433,14.6,2.784,-0.008,0.035,4636.0,0.068,0.573,0.123,0.997,0.005,0.007,0.007,0.04,-0.21,0.635,0.002,0.208,0.085,0.522,-73.7126007080078,44.331298828125
18500,Amsterdam,0.082840234,NY,110160,0,0.013,0.13,0.027,0.031,0.026,0.416,32624,0.369,7.015,0.299,0.565,0.038,2988.0,0.0,6.905,9.628,14.3,2.667,-0.007,0.009,2380.0,-0.078,0.595,0.189,4.284,0.004,0.014,0.012,0.025,0.683,0.57,0.001,0.231,0.092,0.54,-74.4513702392578,43.2861976623535
18600,Albany,0.0833333358,NY,1061509,1,0.055,0.201,0.077,0.078,0.078,0.317,40298,0.407,10.807,0.299,0.511,0.034,2767.0,0.0,6.905,8.921,15.8,4.01,-0.011,0.023,9499.0,0.058,0.649,0.09,0.466,0.006,0.013,0.011,0.045,0.602,0.525,0.002,0.224,0.087,0.533,-73.8589172363281,42.8572311401367
18700,Sunbury,0.1113667712,PA,191962,1,0.023,0.169,0.043,0.04,0.044,0.396,30863,0.359,9.138,0.268,0.632,0.017,1426.0,0.0,0.0,6.516,18.1,5.346,-0.007,0.016,20819.0,0.473,0.572,0.221,2.797,0.005,0.009,0.01,0.018,0.692,0.521,0.002,0.171,0.079,0.592,-76.8812713623047,40.8595542907715
18800,Scranton,0.1074531749,PA,857487,1,0.022,0.131,0.044,0.041,0.047,0.351,35125,0.412,12.428,0.288,0.578,0.023,1568.0,0.0,0.0,7.373,18.6,5.554,-0.011,0.021,8661.0,0.142,0.598,0.158,1.683,0.005,0.023,0.014,0.028,0.118,0.557,0.001,0.185,0.08,0.548,-75.5423889160156,41.2837600708008
18900,Williamsport,0.1016209498,PA,227275,1,0.025,0.162,0.031,0.033,0.026,0.414,31689,0.382,10.051,0.281,0.604,0.021,1848.0,0.0,0.0,6.937,17.4,4.766,-0.007,0.018,7163.0,0.166,0.606,0.238,2.495,0.004,0.01,0.011,0.011,0.279,0.449,0.001,0.197,0.093,0.575,-77.2385025024414,41.2774848937988
19000,Allentown,0.0826314986,PA,637958,1,0.027,0.214,0.082,0.07,0.094,0.329,39894,0.402,12.055,0.281,0.53,0.023,2217.0,0.0,0.0,7.449,19.3,0.125,-0.007,0.02,14658.0,0.037,0.633,0.206,1.102,0.005,0.03,0.02,0.051,0.448,0.626,0.001,0.186,0.084,0.567,-75.4598083496094,40.8401222229004
19100,Reading,0.0963095427,PA,1114959,1,0.026,0.262,0.066,0.068,0.062,0.344,38217,0.372,10.983,0.262,0.582,0.021,1807.0,0.0,0.0,7.694,19.1,2.944,-0.001,0.019,8790.0,0.144,0.65,0.234,2.03,0.005,0.02,0.015,0.032,0.548,0.538,0.002,0.17,0.079,0.583,-76.2531967163086,40.153995513916
19200,Harrisburg,0.0792682916,PA,1051424,1,0.059,0.278,0.06,0.056,0.062,0.314,38699,0.37,11.141,0.258,0.573,0.021,1909.0,0.0,0.0,7.256,17.9,0.608,-0.002,0.018,8336.0,0.107,0.661,0.178,1.804,0.005,0.02,0.013,0.028,0.683,0.488,0.001,0.186,0.088,0.583,-77.1747894287109,40.3097534179688
19300,Poughkeepsie,0.0948357806,NY,873232,1,0.075,0.142,0.07,0.073,0.068,0.301,39707,0.39,9.621,0.293,0.482,0.039,3085.0,0.0,6.905,9.084,16.2,2.093,-0.012,0.014,8390.0,0.083,0.637,0.105,1.941,0.005,0.026,0.024,0.078,-0.759,0.574,0.002,0.183,0.079,0.557,-74.4587554931641,41.7227630615234
19400,New York,0.1050008386,NY,11781395,1,0.196,0.382,0.132,0.114,0.141,0.156,45509,0.684,29.143,0.393,0.44,0.035,3483.0,0.0,6.905,9.949,18.7,-1.449,0.013,0.012,9269.0,-0.099,0.598,0.07,0.779,0.004,0.01,0.022,0.296,-1.108,0.635,0.004,0.278,0.073,0.481,-73.4934310913086,40.8868293762207
19500,Toms River,0.1222978607,NJ,1126217,1,0.055,0.198,0.109,0.099,0.118,0.263,54036,0.407,15.42,0.253,0.419,0.031,2632.0,7.22,1.19,,,5.938,-0.012,0.001,4100.0,-0.246,0.614,0.081,0.623,0.006,0.027,0.025,0.087,-0.56,0.614,0.001,0.146,0.075,0.587,-74.3227462768555,40.027587890625
19600,Newark,0.1024259701,NJ,5822286,1,0.138,0.323,0.118,0.1,0.131,0.234,51373,0.518,19.205,0.325,0.401,0.031,2782.0,7.22,1.19,,15.4,-0.599,-0.005,0.005,7282.0,-0.153,0.646,0.13,1.316,0.005,0.016,0.024,0.227,-0.466,0.611,0.002,0.19,0.072,0.542,-74.6487045288086,40.7106246948242
