year,ARG,AUS,AUT,BDI,BEL,BEN,BFA,BGD,BHS,BLZ,BMU,BOL,BRA,BWA,CAF,CHL,CHN,CIV,CMR,COD,COG,COL,CRI,DNK,DOM,DZA,ECU,EGY,ESP,FIN,FJI,FRA,GAB,GBR,GHA,GRC,GTM,GUY,HND,HTI,IDN,IND,IRN,ITA,JPN,KEN,KOR,LSO,LUX,MDG,MEX,MWI,MYS,NER,NGA,NIC,NLD,NOR,NPL,PAK,PAN,PER,PHL,PNG,PRI,PRT,PRY,RWA,SDN,SEN,SGP,SLE,SUR,SWE,SYC,SYR,TCD,TGO,THA,TTO,TUR,URY,USA,VCT,ZAF,ZMB,ZWE,WLD
1977,1.36078274,1.476973841,1.975020246,1.328337132,1.896634031,1.072379108,1.258147536,0.913640642,1.026387029,1.678390764,2.008146051,1.716530011,2.18222683,4.088151237,1.045389055,1.183429448,1.456399334,1.907359168,1.191579267,0.910927902,1.255861114,1.51843804,1.668632738,1.687679982,1.860466387,1.434519257,1.564742541,1.652770169,2.345311347,1.817433989,1.588716303,1.962983425,3.823676206,1.528616822,0.834924895,2.831161123,1.671567753,1.238329854,1.40434444,1.075409088,1.525029304,1.271590024,3.062008469,2.005431355,2.77455927,1.465283311,3.485088871,1.610371783,1.569961011,0.852329631,1.642138169,1.612848516,2.120644871,0.778367995,1.57690111,1.677338001,1.77626724,1.866282403,1.05054255,1.629189644,1.721991656,1.399221361,1.563009763,1.565729487,2.234069948,2.499380091,1.832271425,1.021154736,1.109461244,0.887779765,3.084640854,1.229110568,1.847747181,1.625235244,1.648701528,1.935664974,0.862111909,1.753438752,2.159869124,1.658250261,1.698396749,1.132338355,1.547152774,1.128172136,1.293485272,0.976932033,1.283945972,1.570307118
1978,1.278768337,1.472936883,1.972456067,1.279364828,1.948715407,1.058826749,1.283864926,0.955408103,1.147495079,1.775479856,2.029718145,1.712740917,2.237186349,4.440633426,1.047338425,1.25535415,1.599798697,2.037174191,1.414493604,0.836082196,1.304366539,1.610180627,1.726230692,1.719902691,1.855212243,1.522418962,1.609850329,1.752232439,2.356820451,1.865134829,1.580548024,2.031184246,2.833953898,1.592798481,0.878291634,2.99721643,1.71517096,1.204523613,1.442340332,1.120121662,1.590693967,1.314809799,2.585986042,2.063046121,2.894372511,1.51360815,3.808509674,1.852701868,1.63100719,0.805485305,1.73728315,1.709963318,2.203156321,0.858054258,1.441757362,1.501451837,1.812970839,1.931109603,1.071901888,1.705280748,1.84590189,1.328362247,1.599589457,1.66421234,2.357841283,2.542184217,2.002174365,1.083189498,1.004000705,0.833071657,3.284564286,1.234185767,1.989942983,1.648894342,1.985731263,2.056184966,0.843158009,1.901733078,2.329879804,1.799599554,1.68696956,1.186455867,1.615583103,1.229887068,1.297018385,0.953541764,1.230821809,1.607073472
1979,1.387112215,1.516118555,2.08166007,1.269849411,1.992544502,1.099176318,1.296968209,0.978049479,1.418351675,1.870043547,2.065608416,1.677043657,2.332764367,4.73427378,1.011104583,1.340977209,1.698436905,2.008854012,1.457994269,0.810907881,1.399517048,1.658604335,1.762875629,1.782064968,1.894322177,1.588136261,1.625745576,1.786549816,2.337104986,1.99286849,1.730758481,2.093019993,2.776999904,1.651030647,0.829998441,3.057234415,1.753613537,1.173445829,1.476523088,1.181358279,1.663770791,1.218539543,2.201055242,2.179674739,3.027362222,1.573273304,4.076448207,1.853811964,1.665358585,0.859273944,1.852357984,1.719899599,2.347173661,0.892230177,1.493156258,1.074430754,1.836764364,2.008694014,1.072106073,1.709530279,1.884333148,1.348602729,1.643836471,1.660000886,2.513218434,2.656901383,2.183638828,1.175364883,0.917300231,0.870375286,3.553246062,1.264510955,2.001711354,1.708479572,2.279703583,2.004369732,0.648917005,1.759147878,2.402744016,1.837989827,1.641688581,1.253626205,1.648442239,1.263799602,1.310832059,0.897714872,1.251061782,1.645062426
1980,1.386036888,1.543215651,2.117701471,1.230279494,2.078801918,1.142632933,1.272791102,0.962309865,1.481274184,2.072935215,2.194216127,1.617789704,2.488196398,5.047133404,0.955845051,1.427181829,1.808667373,1.722503562,1.382951028,0.803700648,1.609409836,1.687031889,1.728278946,1.771302559,1.999104079,1.551798804,1.641824506,1.915266409,2.369621488,2.093741807,1.661465839,2.114516162,2.776077698,1.615560115,0.809344952,3.047851777,1.774719066,1.188125157,1.440058873,1.243712327,1.787116579,1.271538386,1.666696961,2.249798584,3.088224792,1.603110545,3.947362561,1.753291992,1.67339472,0.842655255,1.971621309,1.661254204,2.456834002,0.844098721,1.508994227,1.093698254,1.846740346,2.093647687,1.022947253,1.808996713,2.081701221,1.393369841,1.684136351,1.588915528,2.588885213,2.748946307,2.376405152,1.23832246,0.89558694,0.882964732,3.863252831,1.299204857,1.836510849,1.733999698,2.163009223,2.218254236,0.608941293,1.960986308,2.47303428,2.001012269,1.568760848,1.321031329,1.628507656,1.287467368,1.361255854,0.897966924,1.351453648,1.647048988
1981,1.293496926,1.570038012,2.109259878,1.325253654,2.073050841,1.222066245,1.291418398,1.005271946,1.319808397,2.045268148,2.230952473,1.587135695,2.327636298,5.257245569,0.931161126,1.498391687,1.876942824,1.717082048,1.562498559,0.800150062,1.851204043,1.686163473,1.643559252,1.760003347,2.038811607,1.547805436,1.68897971,2.003304203,2.349719336,2.112264534,1.723721401,2.124829285,2.842300258,1.602275602,0.758757479,2.973713978,1.74051836,1.203566039,1.379467927,1.184421174,1.883317566,1.317579046,1.495810635,2.266069857,3.196432677,1.604255653,4.167858392,1.71689286,1.659276742,0.738682046,2.09247215,1.512433586,2.559812415,0.817043508,1.272114451,1.12035654,1.81974187,2.119803546,1.082648874,1.867813028,2.221033762,1.434648578,1.697602638,1.552405971,2.589085764,2.769310562,2.525123671,1.258991404,0.925275354,0.905191662,4.080146649,1.30956205,1.962994002,1.739798831,1.961317376,2.311158398,0.615153203,1.83911026,2.563648458,2.065420977,1.612300802,1.336058231,1.653526749,1.338018638,1.397748077,0.92473338,1.428227469,1.64970247
1982,1.263938575,1.594356388,2.150139897,1.279513942,2.085952039,1.214615388,1.376626993,0.998895882,1.38261942,1.994203417,2.09783244,1.492016505,2.29386383,5.664739667,0.99218537,1.314180116,2.01627599,1.657751807,1.639470106,0.77499641,2.238859976,1.663695716,1.482330098,1.826193366,2.028723657,1.593446025,1.65575231,2.14496981,2.36476715,2.165747157,1.581557937,2.165430496,2.682119203,1.63482512,0.685347558,2.921963849,1.634809504,1.044877045,1.310511033,1.119380151,1.881696183,1.332897117,1.754676233,2.273756932,3.278447239,1.569920323,4.446130414,1.744139003,1.676670951,0.704472328,2.03965188,1.489865606,2.642509116,0.809606581,1.151669805,1.081218662,1.788941099,2.117003011,1.097631548,1.909307641,2.286009592,1.39701714,1.716870399,1.526011974,2.521641411,2.811207278,2.42215969,1.233960717,0.944341924,0.952257204,4.182293635,1.343993538,1.87342557,1.760515927,1.928015134,2.298905699,0.618099478,1.716053943,2.645768446,2.117129894,1.634571005,1.200383334,1.608309907,1.387875381,1.35693749,0.870195054,1.410001894,1.626773568
1983,1.298508939,1.537701151,2.217646293,1.292170845,2.092623169,1.129181282,1.342987257,1.009282849,1.405659729,1.905895332,2.121572521,1.401414872,2.177144092,6.181614024,0.901522362,1.230617344,2.201393052,1.535782303,1.71532649,0.764640451,2.321090844,1.651486645,1.483051695,1.874889633,2.076951946,1.624109086,1.608288149,2.194022863,2.394930101,2.219974074,1.482516372,2.180611327,2.757410609,1.703264152,0.633962831,2.873681247,1.550089722,0.975490236,1.283346905,1.106936356,1.92034297,1.398112214,1.881566369,2.299507028,3.373911211,1.532556944,4.967084466,1.73004082,1.726329801,0.691174333,1.929663941,1.48528943,2.734681098,0.755072899,1.000475966,1.101845496,1.819060044,2.193832549,1.039915713,1.965931621,2.133133853,1.221529897,1.7065177,1.542578414,2.437532739,2.793350416,2.284120203,1.261668139,0.934385405,0.874679745,4.481484558,1.287633896,1.790297457,1.79316496,1.8973582,2.274591224,0.680232247,1.569524124,2.737826125,1.876143839,1.676551605,1.071976582,1.66672339,1.408794055,1.296655738,0.82592647,1.378904236,1.640577666
1984,1.298786557,1.589115378,2.218923061,1.263241321,2.144267468,1.184219442,1.281611619,1.029616884,1.574379893,1.898848702,2.11315915,1.369228577,2.244811517,6.47512125,0.975878449,1.263058267,2.502764198,1.44159171,1.791599234,0.783386038,2.421130709,1.668347848,1.558280621,1.954023307,2.057818379,1.658026678,1.608967204,2.342414094,2.427570535,2.279636319,1.568570949,2.202486061,2.885073259,1.739158405,0.670285634,2.916891972,1.515689745,0.929258843,1.324803481,1.088099277,2.00697526,1.419054648,1.685941422,2.373155248,3.499965813,1.502600999,5.423847409,1.775969026,1.831253506,0.68403239,1.957212956,1.505054613,2.867964275,0.609406399,0.965158966,1.058056749,1.867327055,2.320055633,1.113912626,2.001273291,2.140861808,1.235501724,1.547992556,1.504861756,2.556526992,2.730316283,2.283821686,1.168800731,0.867704158,0.884746496,4.784217089,1.310911473,1.7415565,1.867309916,1.971245932,2.029730862,0.685509886,1.602588922,2.838961461,1.748138467,1.748904397,1.054454459,1.771929765,1.492803532,1.325218652,0.798150733,1.305542486,1.687805934
1985,1.212896591,1.650854658,2.273299228,1.381910157,2.179037172,1.236952055,1.351081502,1.037139167,1.618405943,1.874475799,2.053534549,1.318086309,2.369798952,6.695667212,1.002469831,1.294667208,2.800507085,1.454672264,1.877669673,0.763536751,2.321881863,1.682807419,1.526902523,2.031434107,1.971554708,1.661935978,1.630477742,2.410749498,2.474940429,2.350713686,1.461446249,2.226615155,2.741883722,1.807182441,0.688471894,2.978505351,1.465531,0.955666308,1.359227705,1.072652009,2.013495135,1.460408832,1.657920519,2.438853238,3.657591345,1.510905476,5.791710603,1.773372342,1.878742383,0.672944592,1.963104464,1.51480302,2.759333808,0.636917757,0.994740233,0.990991608,1.906595726,2.441573874,1.155468641,2.084092297,2.196062909,1.231531087,1.407689875,1.531868342,2.61010608,2.799300589,2.321219744,1.179364469,0.797919078,0.890271212,4.747933433,1.213754503,1.755493325,1.904502511,2.172867602,2.144190235,0.826996511,1.638759361,2.914629139,1.655116901,1.783453823,1.064270967,1.829529113,1.576802649,1.270967699,0.786980895,1.349300514,1.720119576
1986,1.268218187,1.691684001,2.324139345,1.400312318,2.21796501,1.227202052,1.417934303,1.05499716,1.615505071,1.915556238,2.171961173,1.257312768,2.495123162,6.993790268,1.026057812,1.34378372,3.006104449,1.451765436,1.943668132,0.776239976,2.099151769,1.74314017,1.568213186,2.128211345,1.998478725,1.6139198,1.64505684,2.456948999,2.54783434,2.407658075,1.542483782,2.266796305,2.646139643,1.859802356,0.707666045,2.984037554,1.427629536,0.952189767,1.391141613,1.045624979,2.087557809,1.496342268,1.445329379,2.508467057,3.75801473,1.562426278,6.383933395,1.808250087,2.057064691,0.667299469,1.868904677,1.4571358,2.712660003,0.657191979,0.969606382,0.958250776,1.948886524,2.531223749,1.181525006,2.12233478,2.223909156,1.316817464,1.423423164,1.569463648,2.713859272,2.912568091,2.369101035,1.199669695,0.824675695,0.892091517,4.816237919,1.198861473,1.746081562,1.951215627,2.155546347,1.907313542,0.769905077,1.614970053,3.019395612,1.579015696,1.868678052,1.151562883,1.875466503,1.65789426,1.230196351,0.769151804,1.332761027,1.748363012
1987,1.282988997,1.70878683,2.354191519,1.444128181,2.267192258,1.173370253,1.376486036,1.07062623,1.632387641,2.074190267,2.235218523,1.261317381,2.53201597,7.561272661,0.963461622,1.408285321,3.303142554,1.398664703,1.84339571,0.772951339,2.041828859,1.798139907,1.599818111,2.130921841,2.155165695,1.554817901,1.600441539,2.482706365,2.682201081,2.486664807,1.417317884,2.312538473,2.132652991,1.955933163,0.724025037,2.906896499,1.437860227,0.966794719,1.441925835,1.01608816,2.150160388,1.521659812,1.396359024,2.588272188,3.913808139,1.598023133,7.12566127,1.779476674,2.124525384,0.65641233,1.868513789,1.411886474,2.769074479,0.638113992,0.975177054,0.929889585,1.973959245,2.5635793,1.176036113,2.180551945,2.135891333,1.412535525,1.451737022,1.578258436,2.843487681,3.099265538,2.478507582,1.156998623,0.92630956,0.920607075,5.256643505,1.251379856,1.619274157,2.009938393,2.156943051,1.875191472,0.72561287,1.574874858,3.247762665,1.488540047,2.004963131,1.236460583,1.923077537,1.659464861,1.212866672,0.767001158,1.305312397,1.781746065
1988,1.250011152,1.777840141,2.428342584,1.483962788,2.366740022,1.177456895,1.417815957,1.073019248,1.639094065,2.22722439,2.306032261,1.270804279,2.481931558,8.738975219,0.964581988,1.487665289,3.615163059,1.365923874,1.647745014,0.752714836,2.018247028,1.832086193,1.612349468,2.129596915,2.156050437,1.497559797,1.653848576,2.548031613,2.812869659,2.60880331,1.412908205,2.409402967,2.340779789,2.063468035,0.745962828,3.020549679,1.453041613,0.937538189,1.426455248,0.997193617,2.22885243,1.632119624,1.271912827,2.695531278,4.157197243,1.638762419,7.902108607,1.893761876,2.287669941,0.659619604,1.860382987,1.380406483,2.95370806,0.661544852,1.019967586,0.7955845,2.028737471,2.543315336,1.239860663,2.266036695,1.810246855,1.250592197,1.513613248,1.589167739,2.983145952,3.33483772,2.553158474,1.171122102,0.917968244,0.886930462,5.702170384,1.131721815,1.722693203,2.051921193,2.264883286,2.141434458,0.810111966,1.629609438,3.61514113,1.415035759,2.011239418,1.24703669,1.985297098,1.887860951,1.220733165,0.792919759,1.361163071,1.83190017
1989,1.143411308,1.815739078,2.511394373,1.475481189,2.439966938,1.109841391,1.41060818,1.080261921,1.716145648,2.462346224,2.29682121,1.291435232,2.512797146,9.573587966,0.959506706,1.609105903,3.709911392,1.354699467,1.569679125,0.720226663,2.011931635,1.855085164,1.660799557,2.142051455,2.203902153,1.522842784,1.631151402,2.603069825,2.944028573,2.731637335,1.501636762,2.50128488,2.471622478,2.11115331,0.764071802,3.119011447,1.469223957,0.898017405,1.424939207,0.948276161,2.35871826,1.692081456,1.311335136,2.784776597,4.344569196,1.657256819,8.37774151,1.965689041,2.48750513,0.666864796,1.904373088,1.334910569,3.127516744,0.647811815,1.012726641,0.763551997,2.105739608,2.559136182,1.26487216,2.299567657,1.799654037,1.072250894,1.570555569,1.531455906,3.084273144,3.554805993,2.656394284,1.139877923,0.993795199,0.895953143,6.099717565,1.111766406,1.76770039,2.092389003,2.503521726,1.791359895,0.821576711,1.646103006,3.987677383,1.390359694,1.978126411,1.252610485,2.038863722,1.91023816,1.208758244,0.764171249,1.391568373,1.868084624
1990,1.099076794,1.853048772,2.600637968,1.496460998,2.50902454,1.173240476,1.365846367,1.116994819,1.656396515,2.685599319,2.278481976,1.323300255,2.360382037,9.918692415,0.910454801,1.636047462,3.799192583,1.289501642,1.429832658,0.651198603,1.97560864,1.894271955,1.676652589,2.170123578,2.040152592,1.497214437,1.652391671,2.680936288,3.052244231,2.73778106,1.573003814,2.56207228,2.529816383,2.120296317,0.769341393,3.086192183,1.473946771,0.877206349,1.42426794,0.938589544,2.484542384,1.747883833,1.43223781,2.837699601,4.539799417,1.668994007,9.115018743,2.047554297,2.587249365,0.667703541,1.966501048,1.356948847,3.312548541,0.619891501,1.102626385,0.745394119,2.178772506,2.59962737,1.291691179,2.324179159,1.904567292,0.996485447,1.581321417,1.446564918,2.970102355,3.703301914,2.692397385,1.085477318,0.924297625,0.863994331,6.443244388,1.104853993,1.670174426,2.091954641,2.665553807,1.802204603,0.766110682,1.594519148,4.360394384,1.39985585,2.120882691,1.248627433,2.053981613,1.98654387,1.168390298,0.741189205,1.449434523,1.888654371
1991,1.182496719,1.822570696,2.663417016,1.540053931,2.545540174,1.18594164,1.452552593,1.133754999,1.556204301,2.931006515,2.209309967,1.364401894,2.343842928,10.35655858,0.877671114,1.735240057,4.094849245,1.242187104,1.334830926,0.577004124,1.967473124,1.893208295,1.671680786,2.194664208,2.017142494,1.444390199,1.685172108,2.646515798,3.121997925,2.562591834,1.521948134,2.566252207,2.612776288,2.090432246,0.78970669,3.14389885,1.487324127,0.934122254,1.338929107,0.937196142,2.607072653,1.729616604,1.553195643,2.879362014,4.68132742,1.63949053,9.997990511,2.153671875,2.773490084,0.607076215,2.009278379,1.431605704,3.527963389,0.598298127,1.078585074,0.726881694,2.214396626,2.667079575,1.338849951,2.364193254,2.040584362,0.997224601,1.537436315,1.534628219,3.017125842,3.873988343,2.713722816,1.034758072,0.975629318,0.862007331,6.681346899,1.11720689,1.701971055,2.053933048,2.702892107,1.883704805,0.801863701,1.538015324,4.660037062,1.432447468,2.097659878,1.285242733,2.024523406,2.003882964,1.127280821,0.722675397,1.490713913,1.884491592
