Date,Price,Open,High,Low,Vol,Change,Unit,vol2,Volume,Year,Source
"Mar 05, 2019",136.82,125.97,141.11,125.44,16.74M,8.61%,M,16.74,16740.00,2019,
"Mar 04, 2019",125.97,131.02,131.57,123.25,14.11M,-3.85%,M,14.11,14110.00,2019,
"Mar 03, 2019",131.01,132.77,168.42,129.05,10.64M,-1.32%,M,10.64,10640.00,2019,
"Mar 02, 2019",132.76,135.72,136.36,130.74,11.29M,-2.18%,M,11.29,11290.00,2019,
"Mar 01, 2019",135.72,135.47,138.06,128.46,9.73M,0.18%,M,9.73,9730.00,2019,
"Feb 28, 2019",135.47,135.2,138.56,133.09,16.08M,0.20%,M,16.08,16080.00,2019,
"Feb 27, 2019",135.2,136.66,159.6,128.15,16.11M,-1.08%,M,16.11,16110.00,2019,
"Feb 26, 2019",136.67,138.26,138.66,134.48,11.75M,-1.15%,M,11.75,11750.00,2019,
"Feb 25, 2019",138.27,132.94,141.57,132.85,10.55M,4.02%,M,10.55,10550.00,2019,
"Feb 24, 2019",132.93,158.31,165.79,132.87,14.30M,-16.03%,M,14.30,14300.00,2019,
"Feb 23, 2019",158.3,147.97,159.31,146.28,8.31M,6.99%,M,8.31,8310.00,2019,
"Feb 22, 2019",147.97,145.79,148.83,144.27,6.79M,1.50%,M,6.79,6790.00,2019,
"Feb 21, 2019",145.78,149.01,149.55,143.5,7.21M,-2.23%,M,7.21,7210.00,2019,
"Feb 20, 2019",149.11,144.02,149.46,140.88,8.61M,3.54%,M,8.61,8610.00,2019,
"Feb 19, 2019",144.01,145.79,149.84,143.8,9.90M,-1.22%,M,9.90,9900.00,2019,
"Feb 18, 2019",145.8,133.79,147.64,125.07,11.93M,8.98%,M,11.93,11930.00,2019,
"Feb 17, 2019",133.79,122.88,135.27,122.78,8.67M,8.89%,M,8.67,8670.00,2019,
"Feb 16, 2019",122.87,121.72,124.5,121.71,5.33M,0.94%,M,5.33,5330.00,2019,
"Feb 15, 2019",121.73,120.97,124,120.87,5.69M,0.63%,M,5.69,5690.00,2019,
"Feb 14, 2019",120.97,122.21,124.46,120.44,5.81M,-1.02%,M,5.81,5810.00,2019,
"Feb 13, 2019",122.22,122.66,126.17,121.06,6.17M,-0.35%,M,6.17,6170.00,2019,
"Feb 12, 2019",122.64,121.32,123.99,119.28,5.74M,1.10%,M,5.74,5740.00,2019,
"Feb 11, 2019",121.3,124.94,125.05,119.55,6.13M,-2.89%,M,6.13,6130.00,2019,
"Feb 10, 2019",124.92,119.44,125.46,116.42,6.32M,4.59%,M,6.32,6320.00,2019,
"Feb 09, 2019",119.44,119.27,121.09,117.96,5.21M,0.17%,M,5.21,5210.00,2019,
"Feb 08, 2019",119.23,104.55,122.58,103.89,9.19M,14.05%,M,9.19,9190.00,2019,
"Feb 07, 2019",104.55,104.63,106.12,104.29,5.05M,-0.08%,M,5.05,5050.00,2019,
"Feb 06, 2019",104.63,107.37,107.67,102.28,6.15M,-2.55%,M,6.15,6150.00,2019,
"Feb 05, 2019",107.37,107.91,108.32,106.6,4.67M,-0.50%,M,4.67,4670.00,2019,
"Feb 04, 2019",107.9,107.63,109.24,106.95,5.02M,0.27%,M,5.02,5020.00,2019,
"Feb 03, 2019",107.62,110.67,111.25,106.36,5.01M,-2.77%,M,5.01,5010.00,2019,
"Feb 02, 2019",110.68,106.99,111.16,106.29,4.23M,3.46%,M,4.23,4230.00,2019,
"Feb 01, 2019",106.98,106.74,108.54,104.41,4.98M,0.26%,M,4.98,4980.00,2019,
"Jan 31, 2019",106.71,108.51,110.56,105.86,5.11M,-1.66%,M,5.11,5110.00,2019,
"Jan 30, 2019",108.52,104.76,109.67,103.82,5.95M,3.55%,M,5.95,5950.00,2019,
"Jan 29, 2019",104.79,105.82,107.32,102.89,5.41M,-0.98%,M,5.41,5410.00,2019,
"Jan 28, 2019",105.82,112.5,113.14,101.6,7.45M,-5.94%,M,7.45,7450.00,2019,
"Jan 27, 2019",112.5,115.83,116.24,112.03,4.65M,-2.88%,M,4.65,4650.00,2019,
"Jan 26, 2019",115.83,115.5,117.63,115.37,3.48M,0.29%,M,3.48,3480.00,2019,
"Jan 25, 2019",115.5,116.7,117.41,115.03,4.75M,-1.03%,M,4.75,4750.00,2019,
"Jan 24, 2019",116.71,116.84,117.32,114.93,4.38M,-0.11%,M,4.38,4380.00,2019,
"Jan 23, 2019",116.84,118.23,119.01,115.52,4.35M,-1.18%,M,4.35,4350.00,2019,
"Jan 22, 2019",118.23,116.05,119.47,112.36,5.11M,1.88%,M,5.11,5110.00,2019,
"Jan 21, 2019",116.05,117.52,118.04,114.15,4.80M,-1.25%,M,4.80,4800.00,2019,
"Jan 20, 2019",117.52,123,123.52,116.25,3.93M,-4.47%,M,3.93,3930.00,2019,
"Jan 19, 2019",123.02,119.34,125.37,119.34,3.36M,3.09%,M,3.36,3360.00,2019,
"Jan 18, 2019",119.34,122.02,122.19,118.27,2.59M,-2.20%,M,2.59,2590.00,2019,
"Jan 17, 2019",122.03,121.71,123.03,117.51,3.61M,0.25%,M,3.61,3610.00,2019,
"Jan 16, 2019",121.72,119.59,126.5,119.1,3.83M,1.75%,M,3.83,3830.00,2019,
"Jan 15, 2019",119.62,127.55,129.6,116.9,4.31M,-6.20%,M,4.31,4310.00,2019,
"Jan 14, 2019",127.53,114.65,130.3,114.62,3.86M,11.24%,M,3.86,3860.00,2019,
"Jan 13, 2019",114.64,123.75,124.09,112.79,2.98M,-7.36%,M,2.98,2980.00,2019,
"Jan 12, 2019",123.75,125.15,126.15,122.73,2.21M,-1.11%,M,2.21,2210.00,2019,
"Jan 11, 2019",125.15,125.61,127.83,121.28,3.77M,-0.39%,M,3.77,3770.00,2019,
"Jan 10, 2019",125.63,148.78,150.09,121.98,6.48M,-15.56%,M,6.48,6480.00,2019,
"Jan 09, 2019",148.79,148.41,152.57,147.95,2.34M,0.26%,M,2.34,2340.00,2019,
"Jan 08, 2019",148.41,149.96,152.21,146.29,3.04M,-1.03%,M,3.04,3040.00,2019,
"Jan 07, 2019",149.96,154.96,156.36,148.47,2.88M,-3.23%,M,2.88,2880.00,2019,
"Jan 06, 2019",154.96,153.48,158.29,148.63,4.23M,0.96%,M,4.23,4230.00,2019,
"Jan 05, 2019",153.49,152.87,159.78,152.84,4.85M,0.41%,M,4.85,4850.00,2019,
"Jan 04, 2019",152.86,146.94,155.4,145.29,4.92M,4.03%,M,4.92,4920.00,2019,
"Jan 03, 2019",146.94,152.96,154.3,144.39,4.02M,-3.93%,M,4.02,4020.00,2019,
"Jan 02, 2019",152.95,139.58,155.93,138.74,5.51M,9.56%,M,5.51,5510.00,2019,
"Jan 01, 2019",139.61,131.9,140.51,130.67,3.05M,5.84%,M,3.05,3050.00,2019,
"Dec 31, 2018",131.9,138.45,138.72,129.61,3.23M,-4.73%,M,3.23,3230.00,2018,
"Dec 30, 2018",138.45,133.64,139.76,129.51,4.35M,3.57%,M,4.35,4350.00,2018,
"Dec 29, 2018",133.67,136.59,146.02,130.71,5.92M,-2.15%,M,5.92,5920.00,2018,
"Dec 28, 2018",136.61,114.57,137.22,113.14,5.94M,19.25%,M,5.94,5940.00,2018,
"Dec 27, 2018",114.56,130.06,131.51,112.59,4.83M,-11.92%,M,4.83,4830.00,2018,
"Dec 26, 2018",130.06,128.39,136.13,123.39,5.11M,1.30%,M,5.11,5110.00,2018,
"Dec 25, 2018",128.39,139.06,139.74,122.14,7.04M,-7.79%,M,7.04,7040.00,2018,
"Dec 24, 2018",139.23,129.6,158.27,129.48,9.39M,7.43%,M,9.39,9390.00,2018,
"Dec 23, 2018",129.6,115.85,132.46,115.79,6.66M,11.88%,M,6.66,6660.00,2018,
"Dec 22, 2018",115.84,108.18,115.87,105.97,3.30M,7.07%,M,3.30,3300.00,2018,
"Dec 21, 2018",108.18,114.6,118.67,105.59,5.18M,-5.61%,M,5.18,5180.00,2018,
"Dec 20, 2018",114.61,99.36,116.35,98.63,6.34M,15.35%,M,6.34,6340.00,2018,
"Dec 19, 2018",99.37,100.68,107.89,98.57,5.58M,-1.28%,M,5.58,5580.00,2018,
"Dec 18, 2018",100.66,94.37,101.33,91.96,4.66M,6.66%,M,4.66,4660.00,2018,
"Dec 17, 2018",94.37,84.72,96.99,84.61,5.37M,11.40%,M,5.37,5370.00,2018,
"Dec 16, 2018",84.72,83.9,87.62,83.89,3.61M,0.97%,M,3.61,3610.00,2018,
"Dec 15, 2018",83.9,83.81,85.07,81.97,3.04M,0.11%,M,3.04,3040.00,2018,
"Dec 14, 2018",83.81,86.31,87,82.28,3.84M,-2.90%,M,3.84,3840.00,2018,
"Dec 13, 2018",86.31,89.62,90.72,84.83,3.94M,-3.69%,M,3.94,3940.00,2018,
"Dec 12, 2018",89.62,87.72,91.33,87.19,3.46M,1.46%,M,3.46,3460.00,2018,
"Dec 11, 2018",88.32,90.18,91.94,86.25,4.38M,-2.05%,M,4.38,4380.00,2018,
"Dec 10, 2018",90.17,93.62,95.3,88.68,4.15M,-3.68%,M,4.15,4150.00,2018,
"Dec 09, 2018",93.62,90.56,98.76,88.82,4.88M,3.37%,M,4.88,4880.00,2018,
"Dec 08, 2018",90.57,93.28,97.98,84.75,5.68M,-2.90%,M,5.68,5680.00,2018,
"Dec 07, 2018",93.27,90.85,96.99,77.65,7.73M,2.65%,M,7.73,7730.00,2018,
"Dec 06, 2018",90.86,102.36,104.42,90.57,5.06M,-11.21%,M,5.06,5060.00,2018,
"Dec 05, 2018",102.33,110.14,110.7,102.24,3.04M,-7.04%,M,3.04,3040.00,2018,
"Dec 04, 2018",110.09,108.66,113.16,106.13,2.48M,1.31%,M,2.48,2480.00,2018,
"Dec 03, 2018",108.66,116.4,127.08,106.79,2.66M,-6.65%,M,2.66,2660.00,2018,
"Dec 02, 2018",116.41,118.23,120.71,116.08,2.10M,-1.54%,M,2.10,2100.00,2018,
"Dec 01, 2018",118.23,113.76,120.45,111.62,2.87M,3.91%,M,2.87,2870.00,2018,
"Nov 30, 2018",113.77,117.86,119.8,111.73,4.27M,-3.46%,M,4.27,4270.00,2018,
"Nov 29, 2018",117.85,122.75,123.77,114.81,4.00M,-3.99%,M,4.00,4000.00,2018,
