OBJECTID_1,OBJECTID,UPlCode,UPlType,UPlName,UPlAAdmin,UPlArea,SHAPE_Leng,Shape_Le_1,UPZID,Popul_Total,Men_20,Women_20,DEN_POPUL,Cnt_UPlCod,Shape__Area,Shape__Length
66,66,UPZ43,1,SAN RAFAEL,"Dcto. 0274-15/07/2010, 414-04/11/2005 (Gaceta 392/2005), 274-07/2010 Mod.=Res 426/2006,1140/2006,321/2008",3293127.13781,0.07027669500190001,0.0702766952051,43,76524,47.1,52.9,244.1,94,0.000268170949652,0.070276695205142
67,67,UPZ47,1,KENNEDY CENTRAL,Dcto. 308-27/09/2004,3372133.95793,0.083235794585,0.0832357932556,47,93419,47.2,52.8,277.0,115,0.00027460529196300003,0.08323579325564401
68,68,UPZ48,1,TIMIZA,Dcto. 467-20/11/2006 (Gaceta 446/2006),4304383.14853,0.105480362473,0.105480362163,48,147524,47.6,52.4,387.3,136,0.000350515475105,0.10548036216329801
69,69,UPZ113,1,BAVARIA,Dcto. 620-29/12/2006 (Gaceta 455/2007),2772278.9458,0.0607252099312,0.0607252093556,113,20946,48.4,51.6,78.3,44,0.00022576165625300002,0.060725209355598005
70,70,UPZ44,1,AMERICAS,Dcto. 381-06/09/2002,3809694.02332,0.0793997040898,0.0793997027443,44,84511,48.2,51.8,225.7,100,0.000310238039617,0.07939970274430301
71,71,UPZ13,1,LOS CEDROS,Dcto. 27-11/08/2005 (Gaceta 379/2005),6722632.07865,0.118407845631,0.118407842419,13,102797,43.4,56.6,157.3,121,0.0005475243762580001,0.11840784241929701
72,72,UPZ70,1,JERUSALEM,Dcto. 151-12/05/2006,5374763.44439,0.122071229106,0.12207122983999999,70,101513,49.0,51.0,277.6,66,0.00043765334359500003,0.12207122983978501
73,73,UPZ36,1,SAN JOSE,"Dcto. 176-31/05/2006 Mod.=Res 1040/2005,1039/2005,248/2009 (Gaceta 516/ 2009)",2079471.0712,0.057174926359999996,0.057174927034200004,36,48766,47.2,52.8,260.3,38,0.000169327898987,0.057174927034247
74,74,UPZ66,1,SAN FRANCISCO,Dcto. 415-04/11/2005 (Gaceta 393/2005),1786033.84327,0.07435824662610001,0.0743582460529,66,76551,48.8,51.2,499.6,59,0.00014543192216300002,0.074358246052942
75,75,UPZ57,1,GRAN YOMASA,Dcto. 411-23/12/2004,5357986.12383,0.140721450772,0.140721447333,57,141998,49.0,51.0,310.9,105,0.000436257777721,0.14072144733337702
76,76,UPZ52,1,LA FLORA,Dcto. 400-25/09/2006 (Gaceta 441/2006),1877160.25613,0.09899961046610001,0.09899961158540001,52,19072,49.8,50.2,176.7,26,0.00015284013991800002,0.098999611585356
77,77,UPZ11,1,SAN CRISTOBAL NORTE,Dcto. 377-13/09/2006 (Gaceta 439/2006),2752775.055,0.0982060852222,0.0982060838513,11,73333,48.6,51.4,364.4,93,0.000224203246318,0.09820608385134301
78,78,UPZ14,1,USAQUEN,Dcto. 270-11/08/2005 (Gaceta 378/2005),4926919.80588,0.133647680894,0.133647679833,14,42078,47.8,52.2,93.1,101,0.00040125538396200005,0.13364767983307801
79,79,UPZ73,1,GARCES NAVAS,Dcto. 073-15/03/2006 Mod.=Res 647/2007 (Gaceta 477/2007),5550406.97515,0.12122822791999999,0.121228227178,73,152847,47.4,52.6,322.8,137,0.00045204804550200004,0.121228227178305
80,80,UPZ74,1,ENGATIVA, ,5876344.9717,0.12242698616099999,0.12242698557699999,74,134308,49.2,50.8,508.1,82,0.000478596093245,0.12242698557675301
81,81,UPZ25,1,LA FLORESTA,"Dcto. 125-09/04/2002, 198-23/05/2002 Mod.=Dec 249/2009 (gaceta 529/2009), Res 434/2006",3934775.93427,0.10754108357099999,0.107541085346,25,24926,44.9,55.1,67.0,55,0.000320457574673,0.10754108534609101
82,82,UPZ97,1,CHICO LAGO,"Dcto. 059-14/02/2007 modific¢ el 075-20/03/2003 Mod=Res 1000/2007,1062/2007,0612/2008,2475y2476/2009",4224476.02529,0.10465542917199999,0.104655429688,97,26048,43.4,56.6,61.7,133,0.00034403739400000005,0.10465542968796201
83,83,UPZ98,1,LOS ALCAZARES,Dcto. 262-07/07/2010,4140271.15487,0.0796291394102,0.0796291387044,98,82361,47.8,52.2,200.3,111,0.00033717620598800005,0.079629138704428
84,84,UPZ96,1,LOURDES,Dcto. 350-04/09/2006 (Gaceta 434/2006),2001371.25424,0.0860849436742,0.08608494508310001,96,46478,48.5,51.5,237.4,55,0.00016297060543000002,0.08608494508308201
85,85,UPZ92,1,LA MACARENA,Dcto. 492-26/10/2007,858972.814504,0.0735179096301,0.0735179108719,92,14297,49.2,50.8,170.8,16,6.99478873400494e-05,0.073517910871869
86,86,UPZ94,1,LA CANDELARIA,Dcto. 492-26/10/2007,2060243.21072,0.06715641094330001,0.0671564107119,94,24117,52.4,47.6,118.9,38,0.000167767268038,0.067156410711895
87,87,UPZ9,1,VERBENAL,Dcto. 354-04/09/2006 (Gaceta 437/2006),3557883.95914,0.0869010276027,0.086901026151,9,99359,48.4,51.6,288.9,113,0.000289787726018,0.086901026151009
88,88,UPZ28,1,EL RINCON,"Dcto. 399-15/12/2004 Mod.=Res 582/2007 (Gaceta 484/2007), Res 881/2009",7100888.21944,0.118552197576,0.118552196445,28,310790,48.2,51.8,481.8,148,0.0005783397033660001,0.11855219644481602
