Unnamed: 0,Date,Year,Energy Source,EnergyConsumption
252,1996,,2 Nuclear,33.41173935
253,1996,,7 Gas,484.1917725
254,1996,,6 Coal,935.2282104
255,1996,,8 Oil,1293.971191
256,1997,,1 Geo Biomass,1.386640429
257,1997,,3 Solar,0.0
258,1997,,4 Wind,0.021277778
259,1997,,5 Hydro,188.8111572
260,1997,,2 Nuclear,35.88605118
261,1997,,7 Gas,474.4755249
262,1997,,6 Coal,959.019104
263,1997,,8 Oil,1332.273071
264,1998,,1 Geo Biomass,1.71254921
265,1998,,3 Solar,0.0
266,1998,,4 Wind,0.022472221
267,1998,,5 Hydro,197.0977936
268,1998,,2 Nuclear,38.59304047
269,1998,,7 Gas,499.3369751
270,1998,,6 Coal,937.0389404
271,1998,,8 Oil,1363.508667
272,1999,,1 Geo Biomass,1.696124792
273,1999,,3 Solar,0.0
274,1999,,4 Wind,0.058539443
275,1999,,5 Hydro,209.0126038
276,1999,,2 Nuclear,36.42517853
277,1999,,7 Gas,504.0196228
278,1999,,6 Coal,966.0106812
279,1999,,8 Oil,1414.560181
280,2000,,1 Geo Biomass,2.269063234
281,2000,,3 Solar,0.035313889
282,2000,,4 Wind,0.518951416
283,2000,,5 Hydro,222.5306396
284,2000,,2 Nuclear,36.91606903
285,2000,,7 Gas,556.8223877
286,2000,,6 Coal,963.7305908
287,2000,,8 Oil,1420.386475
288,2001,,1 Geo Biomass,2.335352659
289,2001,,3 Solar,0.043955833
290,2001,,4 Wind,1.220885873
291,2001,,5 Hydro,237.5763092
292,2001,,2 Nuclear,30.21781921
293,2001,,7 Gas,634.6361694
294,2001,,6 Coal,975.9262695
295,2001,,8 Oil,1432.664307
296,2002,,1 Geo Biomass,2.28640008
297,2002,,3 Solar,0.049043614
298,2002,,4 Wind,1.294748068
299,2002,,5 Hydro,248.1781921
300,2002,,2 Nuclear,33.58561325
301,2002,,7 Gas,670.6054077
302,2002,,6 Coal,934.4215698
303,2002,,8 Oil,1479.166504
304,2003,,1 Geo Biomass,2.622400045
305,2003,,3 Solar,0.058158889
306,2003,,4 Wind,1.553291917
307,2003,,5 Hydro,239.476593
308,2003,,2 Nuclear,35.24045944
309,2003,,7 Gas,711.5067139
310,2003,,6 Coal,1017.048401
311,2003,,8 Oil,1524.815063
312,2004,,1 Geo Biomass,2.978849649
313,2004,,3 Solar,0.070790559
314,2004,,4 Wind,2.213917017
315,2004,,5 Hydro,251.3361664
316,2004,,2 Nuclear,36.95752716
317,2004,,7 Gas,783.0681763
318,2004,,6 Coal,1119.161865
319,2004,,8 Oil,1586.510742
320,2005,,1 Geo Biomass,3.009669304
321,2005,,3 Solar,0.084134445
322,2005,,4 Wind,2.234556675
323,2005,,5 Hydro,254.3791809
324,2005,,2 Nuclear,31.02905273
325,2005,,7 Gas,807.7815552
326,2005,,6 Coal,1039.072632
327,2005,,8 Oil,1654.919189
328,2006,,1 Geo Biomass,3.770404816
329,2006,,3 Solar,0.107861668
330,2006,,4 Wind,2.425894022
331,2006,,5 Hydro,261.9176636
332,2006,,2 Nuclear,27.37537956
333,2006,,7 Gas,843.4420776
