date,state,city,lat,lon,priceMax,priceMin,priceMod,quantity,year
1998-08-01,GUJ,MAHUVA,21.0902193,71.75631690000002,1342.0,743.0,1032.0,4190.0,1998.0
1998-08-01,MS,CHAKAN,18.7602664,73.86303459999999,1603.0,459.0,1444.0,8500.0,1998.0
1998-08-01,MS,LASALGAON,20.1491422,74.2326058,1459.0,332.0,1343.0,112556.0,1998.0
1998-08-01,MS,LONAND,18.041706,74.1861821,1250.0,667.0,1083.0,650.0,1998.0
1998-08-01,MS,MANMAD,20.2511789,74.43660159999999,1427.0,738.0,1344.0,19657.0,1998.0
1998-08-01,MS,NIPHAD,20.0799646,74.10931409999999,1460.0,953.0,1373.0,15677.0,1998.0
1998-08-01,MS,PIMPALGAON,20.1699678,73.98737870000001,1468.0,1129.0,1385.0,91603.0,1998.0
1998-08-01,MS,SAIKHEDA,22.962215,78.5831181,1485.0,1029.0,1267.0,7676.0,1998.0
1998-08-01,MS,SINNAR,19.8530593,74.00063279999999,1463.0,215.0,1317.0,17512.0,1998.0
1998-09-01,GUJ,MAHUVA,21.0902193,71.75631690000002,1594.0,888.0,1334.0,1948.0,1998.0
1998-09-01,MS,CHAKAN,18.7602664,73.86303459999999,2042.0,1017.0,1850.0,3350.0,1998.0
1998-09-01,MS,LASALGAON,20.1491422,74.2326058,2001.0,386.0,1908.0,100767.0,1998.0
1998-09-01,MS,LONAND,18.041706,74.1861821,1583.0,1267.0,1400.0,1350.0,1998.0
1998-09-01,MS,MANMAD,20.2511789,74.43660159999999,1792.0,1219.0,1684.0,9212.0,1998.0
1998-09-01,MS,NIPHAD,20.0799646,74.10931409999999,2038.0,1045.0,1935.0,13485.0,1998.0
1998-09-01,MS,PIMPALGAON,20.1699678,73.98737870000001,1952.0,1610.0,1862.0,79488.0,1998.0
1998-09-01,MS,SAIKHEDA,22.962215,78.5831181,1864.0,1303.0,1761.0,3325.0,1998.0
1998-09-01,MS,SINNAR,19.8530593,74.00063279999999,2024.0,396.0,1779.0,8250.0,1998.0
1998-10-01,GUJ,BHAVNAGAR,21.7644725,72.1519304,2250.0,1000.0,1250.0,150.0,1998.0
1998-10-01,GUJ,MAHUVA,21.0902193,71.75631690000002,1996.0,1233.0,1607.0,1128.0,1998.0
1998-10-01,MS,CHAKAN,18.7602664,73.86303459999999,2463.0,1050.0,1725.0,518.0,1998.0
1998-10-01,MS,LASALGAON,20.1491422,74.2326058,2954.0,500.0,2632.0,40024.0,1998.0
1998-10-01,MS,LONAND,18.041706,74.1861821,2533.0,1400.0,1833.0,2250.0,1998.0
1998-10-01,MS,MANMAD,20.2511789,74.43660159999999,2638.0,800.0,2069.0,1570.0,1998.0
1998-10-01,MS,NIPHAD,20.0799646,74.10931409999999,3365.0,1113.0,3027.0,4261.0,1998.0
1998-10-01,MS,PIMPALGAON,20.1699678,73.98737870000001,3051.0,2197.0,2754.0,14571.0,1998.0
1998-10-01,MS,SAIKHEDA,22.962215,78.5831181,2925.0,1900.0,2398.0,266.0,1998.0
1998-10-01,MS,SINNAR,19.8530593,74.00063279999999,2863.0,288.0,1874.0,530.0,1998.0
1998-11-01,GUJ,BHAVNAGAR,21.7644725,72.1519304,1900.0,1500.0,1700.0,300.0,1998.0
1998-11-01,GUJ,MAHUVA,21.0902193,71.75631690000002,1452.0,693.0,1135.0,5125.0,1998.0
1998-11-01,MS,CHAKAN,18.7602664,73.86303459999999,1779.0,500.0,1133.0,740.0,1998.0
1998-11-01,MS,LASALGAON,20.1491422,74.2326058,2080.0,245.0,1689.0,49798.0,1998.0
1998-11-01,MS,LONAND,18.041706,74.1861821,1988.0,1275.0,1638.0,10500.0,1998.0
1998-11-01,MS,MANMAD,20.2511789,74.43660159999999,1708.0,890.0,1452.0,9300.0,1998.0
1998-11-01,MS,PIMPALGAON,20.1699678,73.98737870000001,2061.0,892.0,1513.0,61590.0,1998.0
1998-11-01,MS,SINNAR,19.8530593,74.00063279999999,1697.0,150.0,1233.0,825.0,1998.0
1998-12-01,GUJ,BHAVNAGAR,21.7644725,72.1519304,1168.0,883.0,1041.0,75770.0,1998.0
1998-12-01,GUJ,MAHUVA,21.0902193,71.75631690000002,1132.0,788.0,982.0,35903.0,1998.0
1998-12-01,MS,CHAKAN,18.7602664,73.86303459999999,1385.0,344.0,925.0,2237.0,1998.0
1998-12-01,MS,LASALGAON,20.1491422,74.2326058,1152.0,442.0,1069.0,153905.0,1998.0
1998-12-01,MS,LONAND,18.041706,74.1861821,1375.0,925.0,1200.0,12000.0,1998.0
1998-12-01,MS,MANMAD,20.2511789,74.43660159999999,1162.0,767.0,1055.0,88400.0,1998.0
1998-12-01,MS,PIMPALGAON,20.1699678,73.98737870000001,1180.0,847.0,1069.0,172317.0,1998.0
1998-12-01,MS,SINNAR,19.8530593,74.00063279999999,1219.0,219.0,1013.0,15600.0,1998.0
1999-01-01,GUJ,BHAVNAGAR,21.7644725,72.1519304,523.0,447.0,486.0,393650.0,1999.0
1999-01-01,GUJ,MAHUVA,21.0902193,71.75631690000002,553.0,393.0,477.0,73760.0,1999.0
1999-01-01,MS,CHAKAN,18.7602664,73.86303459999999,681.0,157.0,479.0,8900.0,1999.0
1999-01-01,MS,LASALGAON,20.1491422,74.2326058,545.0,310.0,498.0,236001.0,1999.0
1999-01-01,MS,LONAND,18.041706,74.1861821,617.0,333.0,502.0,12000.0,1999.0
1999-01-01,MS,MANMAD,20.2511789,74.43660159999999,562.0,449.0,519.0,93800.0,1999.0
