Unnamed: 0,Date,type,value,area
172,01-Nov-07,london_error,-0.64047241,London
173,01-Nov-07,southwest_error,1.7615585,Southwest
174,01-Nov-07,england_error,0.68740845,England
175,01-Dec-07,northwest_error,0.960495,Northwest
176,01-Dec-07,westmidlands_error,1.9183121,Westmidlands
177,01-Dec-07,london_error,-0.32098389,London
178,01-Dec-07,southwest_error,1.9140472,Southwest
179,01-Dec-07,england_error,0.8366394,England
180,01-Jan-08,northwest_error,1.1646347,Northwest
181,01-Jan-08,westmidlands_error,2.0965881,Westmidlands
182,01-Jan-08,london_error,-0.007499695,London
183,01-Jan-08,southwest_error,2.361618,Southwest
184,01-Jan-08,england_error,1.1808395,England
185,01-Feb-08,northwest_error,1.068779,Northwest
186,01-Feb-08,westmidlands_error,1.8748703,Westmidlands
187,01-Feb-08,london_error,0.005981445,London
188,01-Feb-08,southwest_error,2.3091888,Southwest
189,01-Feb-08,england_error,1.1250381,England
190,01-Mar-08,northwest_error,1.0791092,Northwest
191,01-Mar-08,westmidlands_error,1.9610062,Westmidlands
192,01-Mar-08,london_error,0.031486511,London
193,01-Mar-08,southwest_error,2.3666,Southwest
194,01-Mar-08,england_error,1.1792984,England
195,01-Apr-08,northwest_error,1.0832443,Northwest
196,01-Apr-08,westmidlands_error,2.0392838,Westmidlands
197,01-Apr-08,london_error,0.044967651,London
198,01-Apr-08,southwest_error,2.4141693,Southwest
199,01-Apr-08,england_error,1.2234955,England
200,01-May-08,northwest_error,1.1904755,Northwest
201,01-May-08,westmidlands_error,2.1214905,Westmidlands
202,01-May-08,london_error,0.16445923,London
203,01-May-08,southwest_error,2.3666611,Southwest
204,01-May-08,england_error,1.2727127,England
205,01-Jun-08,northwest_error,1.1946259,Northwest
206,01-Jun-08,westmidlands_error,2.1997757,Westmidlands
207,01-Jun-08,london_error,0.27793884,London
208,01-Jun-08,southwest_error,2.414238,Southwest
209,01-Jun-08,england_error,1.316925,England
210,01-Jul-08,northwest_error,1.10186,Northwest
211,01-Jul-08,westmidlands_error,2.2819824,Westmidlands
212,01-Jul-08,london_error,0.29743195,London
213,01-Jul-08,southwest_error,2.4667206,Southwest
214,01-Jul-08,england_error,1.3661423,England
215,01-Aug-08,northwest_error,1.2060013,Northwest
216,01-Aug-08,westmidlands_error,2.2602615,Westmidlands
217,01-Aug-08,london_error,0.31091309,London
218,01-Aug-08,southwest_error,2.614296,Southwest
219,01-Aug-08,england_error,1.410347,England
220,01-Sep-08,northwest_error,1.3101425,Northwest
221,01-Sep-08,westmidlands_error,2.2385406,Westmidlands
222,01-Sep-08,london_error,0.3243866,London
223,01-Sep-08,southwest_error,2.8618622,Southwest
224,01-Sep-08,england_error,1.4545441,England
225,01-Oct-08,northwest_error,1.4173813,Northwest
226,01-Oct-08,westmidlands_error,2.3207474,Westmidlands
227,01-Oct-08,london_error,0.64388275,London
228,01-Oct-08,southwest_error,3.114357,Southwest
229,01-Oct-08,england_error,1.7037735,England
230,01-Nov-08,northwest_error,1.7215271,Northwest
231,01-Nov-08,westmidlands_error,2.399025,Westmidlands
232,01-Nov-08,london_error,0.85736084,London
233,01-Nov-08,southwest_error,3.1619339,Southwest
234,01-Nov-08,england_error,1.7479706,England
235,01-Dec-08,northwest_error,1.7287598,Northwest
236,01-Dec-08,westmidlands_error,2.4812393,Westmidlands
237,01-Dec-08,london_error,0.97685242,London
